account,date,total_pnl,total_volume,total_fee,trade_count,buy_count,sell_count,avg_exec_price,coins_traded,net_pnl,buy_ratio
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,13851.0,4.469844,69,54,15,3271.243225942029,12,103.85128300000001,0.7826
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,72982.65,24.451253,225,106,119,3717.6363890400003,14,439.829749,0.4711
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,219729.39,75.523391,217,127,90,4655.1879498801845,15,-583.814032,0.5853
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,187730.65,62.761001,169,69,100,460.39081562721896,11,130.903158,0.4083
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,195837.9,67.285783,207,116,91,452.2019923864734,13,98.24686100000001,0.5604
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,80123.45,29.21348375,206,87,119,218.6125672330097,15,9522.52074625,0.4223
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,48590.47,17.77266812,154,60,94,204.23478153896104,17,5572.7555798799995,0.3896
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,47695.56,16.10546943,193,66,127,216.0556363554404,23,4442.1494805699995,0.342
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,19651.71,6.30947724,140,70,70,151.25775330428573,22,1277.53656976,0.5
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,7205.03,2.982829,78,28,50,14.615384025641024,17,1187.37589,0.359
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,18567.68,7.22773423,112,30,82,17.555274321428573,19,9058.94191177,0.2679
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,25406.1,9.32634692,98,33,65,30.113671734693877,17,14676.46131708,0.3367
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,8956.57,2.907485,69,27,42,38.74125289855073,19,386.268747,0.3913
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,13732.33,3.66824976,86,20,66,21.339945244186048,21,4004.34379924,0.2326
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,7922.52,2.81362784,102,31,71,31.609392225490197,22,551.19631416,0.3039
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,18772.08,6.79214041,213,169,44,9.68930044600939,20,761.63869759,0.7934
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,18780.69,5.81611154,157,117,40,34.40099878980892,23,974.74134946,0.7452
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,11570.32,4.121023,93,16,77,19927.183070688174,9,1577.880089,0.172
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,22071.36,6.99886242,147,28,119,3514.698076489796,17,5799.87045758,0.1905
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,13731.75,6.2494111199999995,155,83,72,96.68558067741935,18,1516.0350008799999,0.5355
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,28880.56,9.858389,154,45,109,1339.9986573636365,16,13271.872871,0.2922
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,17125.99,6.5299154,137,61,76,2322.3059525328467,16,5383.4322746,0.4453
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,30184.81,16.93692959,230,85,145,1384.1251735645653,22,13173.31192941,0.3696
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,20394.48,6.70647033,181,98,83,1784.4322445856353,15,4448.23290767,0.5414
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,23859.85,7.0983362,191,102,89,18.150593314136128,25,3617.3913187999997,0.534
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,40188.99,13.84405958,204,159,45,10491.515797064216,21,1511.48587742,0.7794
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,56183.31,20.15432465,194,64,130,8892.240825243814,13,7792.562048350001,0.3299
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,23041.15,8.17682398,107,26,81,3665.6711533831776,10,7457.7231120199995,0.243
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,13811.95,4.77912431,79,45,34,6136.531825886075,10,1169.24640469,0.5696
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,20168.95,7.38734551,95,86,9,14098.753200084211,9,115.50265049,0.9053
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,13556.33,3.97064897,48,9,39,12095.482546937501,10,1551.98580703,0.1875
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,18751.64,6.72020595,66,12,54,5998.727154227273,12,1524.19915905,0.1818
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,18806.8,6.35717119,84,72,12,13752.080470249999,12,95.50375681,0.8571
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,16192.710000000001,5.89000938,73,40,33,23542.264319534246,11,382.47600662,0.5479
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,10479.52,3.62758387,63,35,28,1506.751381111111,12,502.88496712999995,0.5556
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,4793.72,1.67428899,34,7,27,2766.6234952058826,10,113.83789401000001,0.2059
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,56954.43,15.93979237,125,109,16,14161.762801752,10,239.86851963,0.872
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,119958.51,37.09483339,107,57,50,37835.15492070093,10,459.12695861,0.5327
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,15537.51,4.20683628,59,44,15,6385.2230294067795,11,105.62010372,0.7458
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,21987.03,7.715886,101,25,76,14214.073226851486,11,408.830802,0.2475
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,14983.43,5.21759794,69,34,35,1409.633662115942,13,245.36388506,0.4928
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,12691.32,4.45112,81,32,49,6092.210496839506,13,228.21437799999998,0.3951
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,8297.09,2.903942,82,39,43,5.625434170731707,11,84.84823899999999,0.4756
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,6566.03,2.180784,80,18,62,3.9846073875,14,112.503426,0.225
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,10681.19,3.84222532,103,87,16,6.857766844660195,14,264.00400168,0.8447
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,73008.96,25.62455377,149,111,38,6399.902007100672,20,625.8448012299999,0.745
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,75026.01,26.62899091,103,64,39,14578.831006796117,8,545.05995109,0.6214
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,43858.12,12.934459,84,34,50,30157.263997619048,9,388.771889,0.4048
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,157.228232,17918.2,6.271357,37,18,19,33354.094977837834,6,150.956875,0.4865
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,274.773033,28122.33,9.55187849,63,29,34,10534.05724,9,265.22115451,0.4603
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,53.846609,34244.06,10.70141637,61,49,12,28816.476445081968,9,43.14519263,0.8033
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,894.564828,41818.27,11.65985,42,4,38,36143.399464761904,7,882.904978,0.0952
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,55.137803,4560.2,1.2830669799999999,19,10,9,5453.146970526315,7,53.85473602,0.5263
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,238.995461,11862.92,4.286717,87,24,63,1394.9365266666666,12,234.708744,0.2759
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,168.92152,8297.74,2.93988,70,37,33,15.104083000000001,12,165.98164,0.5286
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,594.135892,50558.590000000004,15.71582039,259,128,131,16.68694371814672,19,578.42007161,0.4942
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,102.504343,28651.9,9.57127425,184,58,126,30.985942858695655,16,92.93306875,0.3152
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,608.885905,28690.59,11.29703859,169,115,54,17.14166801183432,20,597.58886641,0.6805
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,428.3738,24660.77,9.96375392,94,48,46,8727.54385787234,9,418.41004608000003,0.5106
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,589.467131,13532.53,4.77079692,112,57,55,4.298465428571428,10,584.69633408,0.5089
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-23,229.609892,15723.44,4.98842587,122,90,32,3.088350950819672,11,224.62146613,0.7377
